"","","","","","","No","No","No","","Yes","Yes","Yes","",""
"","dxage","14942 (0%)","61.1803640744211","12.8259756020819","","10761 (0%)","61.7866369296534","13.0652854490549","","4181 (0%)","59.6199473810093","12.0504630377039","","7.59758662810899e-22"
"<40 yo","agegrp","","565","0.0378128764556284","","","384","0.0356844159464734","","","181","0.0432910786893088","","2.06382398019016e-24"
"40-49","agegrp","","2317","0.155066256190604","","","1619","0.150450701607657","","","698","0.166945706768716","","2.06382398019016e-24"
"50-59","agegrp","","3931","0.263083924508098","","","2731","0.253786822785986","","","1200","0.287012676393207","","2.06382398019016e-24"
"60-69","agegrp","","4224","0.282693079908981","","","3006","0.279342068580987","","","1218","0.291317866539105","","2.06382398019016e-24"
"70-79","agegrp","","2601","0.174073082585999","","","1927","0.179072576898058","","","674","0.161205453240851","","2.06382398019016e-24"
"80+ yo","agegrp","","1304","0.0872707803506893","","","1094","0.101663414180838","","","210","0.0502272183688113","","2.06382398019016e-24"
"WHITE","raceethn1","","9700","0.649176817025833","","","6928","0.643806337700957","","","2772","0.662999282468309","","2.97628196724498e-26"
"BLACK","raceethn1","","1118","0.0748226475706063","","","807","0.0749930303875105","","","311","0.0743841186319062","","2.97628196724498e-26"
"ASIAN","raceethn1","","2155","0.144224334091822","","","1617","0.150264845274603","","","538","0.128677349916288","","2.97628196724498e-26"
"HISPANIC","raceethn1","","1785","0.119461919421764","","","1322","0.122851036149057","","","463","0.110739057641713","","2.97628196724498e-26"
"PI","raceethn1","","65","0.00435015392852363","","","53","0.00492519282594554","","","12","0.00287012676393207","","2.97628196724498e-26"
"AI-AN","raceethn1","","119","0.00796412796145094","","","34","0.00315955766192733","","","85","0.0203300645778522","","2.97628196724498e-26"
"2005-2007","index_yr","","4165","0.278744478650783","","","2634","0.244772790632841","","","1531","0.366180339631667","","3.51577133103553e-70"
"2008-2010","index_yr","","6034","0.403828135457101","","","4320","0.401449679397825","","","1714","0.409949772781631","","3.51577133103553e-70"
"2011-2013","index_yr","","4743","0.317427385892116","","","3807","0.353777529969334","","","936","0.223869887586702","","3.51577133103553e-70"
"","enr_len","14942 (0%)","199.365486547986","62.6955830999746","","10761 (0%)","196.494761949013","63.1800426517328","","4181 (0%)","206.754117834649","60.8184107791224","","6.77719274109534e-20"
"Stage I","ajcc_stage","","7983","0.534265827867755","","","5714","0.530991543536846","","","2269","0.54269313561349","","5.52695623401631e-17"
"Stage II","ajcc_stage","","4970","0.332619461919422","","","3521","0.327200074342533","","","1449","0.346567806744798","","5.52695623401631e-17"
"Stage III","ajcc_stage","","1449","0.0969749698835497","","","1047","0.0972957903540563","","","402","0.0961492465917245","","5.52695623401631e-17"
"Stage IV","ajcc_stage","","540","0.0361397403292732","","","479","0.0445125917665644","","","61","0.014589811049988","","5.52695623401631e-17"
"Positive","nodal","","4608","0.310889218728916","","","3344","0.313519594974686","","","1264","0.304138594802695","","0.27632044775591"
"Negative","nodal","","10214","0.689110781271083","","","7322","0.686480405025314","","","2892","0.695861405197305","","0.27632044775591"
"Not done","er","","2","0.000134798139785671","","","0","0","","","2","0.000478354460655346","","0.0171780745626975"
"Positive","er","","12210","0.822942643391521","","","8725","0.818787537537538","","","3485","0.83353264769194","","0.0171780745626975"
"Negative","er","","2624","0.1768551593988","","","1930","0.181118618618619","","","694","0.165988997847405","","0.0171780745626975"
"Borderline","er","","1","6.73990698928355e-05","","","1","9.38438438438438e-05","","","0","0","","0.0171780745626975"
"Ordered, N/A","er","","0","0","","","0","0","","","0","0","","0.0171780745626975"
"Unknown","er","","0","0","","","0","0","","","0","0","","0.0171780745626975"
